Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 102 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.7426
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 108 | Raw Crowd Count: 2.00 | Raw Flow Mag: 10.1598
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 114 | Raw Crowd Count: 2.00 | Raw Flow Mag: 9.6441
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 120 | Raw Crowd Count: 2.00 | Raw Flow Mag: 10.1903
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 126 | Raw Crowd Count: 2.00 | Raw Flow Mag: 9.9620
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 132 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.9647
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 138 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.5638
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 144 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.6261
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 150 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.3206
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 156 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.5897
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 162 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.5559
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 168 | Raw Crowd Count: 2.00 | Raw Flow Mag: 10.7485
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 174 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.3114
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 180 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.5575
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 186 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.1215
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 192 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.8175
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 198 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.4331
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 204 | Raw Crowd Count: 3.00 | Raw Flow Mag: 12.9096
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 210 | Raw Crowd Count: 3.00 | Raw Flow Mag: 12.8698
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 216 | Raw Crowd Count: 3.00 | Raw Flow Mag: 12.0148
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 222 | Raw Crowd Count: 3.00 | Raw Flow Mag: 13.6314
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 228 | Raw Crowd Count: 3.00 | Raw Flow Mag: 11.7394
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 234 | Raw Crowd Count: 3.00 | Raw Flow Mag: 11.3413
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 240 | Raw Crowd Count: 3.00 | Raw Flow Mag: 10.9217
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 246 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.2242
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 252 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.1865
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 258 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.8083
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 264 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.4623
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 270 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.7917
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 276 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.5608
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 282 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.4097
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 288 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.5645
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 294 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.9603
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 300 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.3869
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 306 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.2884
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 312 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.6676
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 318 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.5106
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 324 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.8590
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 330 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.9055
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 336 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.9614
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 342 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.4362
